"Item type","Authors","Editors","Title","Journal","Journal (full title)","Website name","Source","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Publisher","Publisher place","Date published","Date accessed","ISBN","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Subtype","Pages cited","Advisor","University","Department","Attachments","Level of thesis"
"Journal article","Lee YS,Good JD,Awais N,Eschle BK,Lineberry MS,Lin J,Wunderlich M,Thibodeau J,Edwards H,Teo JL,Bibeau S,Wollman M,Karadimov G,Sariipek N,Salik B,Acosta J,Noel J,Cucchi DG,DePasquale EA,Gokhale PC,Ritz J,Ge Y,Miller PG,Najm FJ,Stone RM,Garcia JS,Lane AA,Jones CL,van Galen P","","Synergistic targeting of eIF4A-mediated translation initiation and apoptosis in acute myeloid leukemia","Blood Neoplasia","Blood Neoplasia","","","2026","","100202","100202","My Papers","Highlight","Elsevier BV","","2026-02-05","2026-02-06","","2950-3280","","http://dx.doi.org/10.1016/j.bneo.2026.100202;https://www.sciencedirect.com/science/article/pii/S2950328026000130;https://linkinghub.elsevier.com/retrieve/pii/S2950328026000130","10.1016/j.bneo.2026.100202","","","Targeted therapies like the BCL-2 inhibitor Venetoclax have expanded treatment options for acute myeloid leukemia (AML) patients, but survival remains…","","http://creativecommons.org/licenses/by-nc-nd/4.0/","","en","","","","","","",""
"Journal article","Safina KR,Salik B,Kotliar D,Curtis M,Good JD,Weng C,David S,Raychaudhuri S,Kreso A,Trowbridge JJ,Sankaran VG,van Galen P","","An inflammatory and quiescent HSC subpopulation expands with age in humans","Genome Biol.","Genome Biology","","","2026","27","1","30","My Papers","Highlight;AK 2023 - Feb 2026","Springer Science and Business Media LLC","","2026-01-16","2026-01-16","","1474-7596","1474-760X","http://dx.doi.org/10.1186/s13059-026-03936-z;https://link.springer.com/article/10.1186/s13059-026-03936-z;https://link.springer.com/content/pdf/10.1186/s13059-026-03936-z.pdf;https://link.springer.com/10.1186/s13059-026-03936-z;https://www.ncbi.nlm.nih.gov/pubmed/41546063;https://scholar.google.com/citations?view_op=view_citation&hl=en&citation_for_view=_WUhKksAAAAJ:JV2RwH3_ST0C;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12892447","10.1186/s13059-026-03936-z","41546063","PMC12892447","Aging of the blood system impacts systemic health and can be traced to hematopoietic stem cells (HSCs). Despite multiple reports on human HSC aging, a unified map detailing their molecular age-related changes is lacking. We developed a consensus map of gene expression in HSCs by integrating seven single-cell datasets. This map reveals previously unappreciated heterogeneity within the HSC population. It also links inflammatory pathway activation (TNF/NFκB, AP-1) and quiescence within a single gene expression program. This program dominates an inflammatory HSC subpopulation that increases with age, highlighting a potential target for further experimental studies and anti-aging interventions.","","https://creativecommons.org/licenses/by/4.0","","en","Research Article","","","","","safina,van galen2026an inflammatory and quiescent hsc subpopulation expands with age in humans - Genome Biol.pdf",""
"Journal article","Della Volpe L,Lee AJ,Antoszewski M,Deik AA,Safina KR,Gao T,Guo CJ,Ye T,Lyu P,Martin-Rufino JD,Castano N,Good J,Molina-Aponte Y,Zhao J,Clish CB,van Galen P,Sankaran VG","","Inhibiting ferroptosis enhances ex vivo expansion of human haematopoietic stem cells","Nat. Cell Biol.","Nature Cell Biology","","","2025","27","12","2214-2224","My Papers","","Springer Science and Business Media LLC","","2025-12-18","2025-11-23","","1465-7392","1476-4679","http://dx.doi.org/10.1038/s41556-025-01814-7;https://www.nature.com/articles/s41556-025-01814-7;https://www.nature.com/articles/s41556-025-01814-7.pdf;https://www.ncbi.nlm.nih.gov/pubmed/41254392;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12680438","10.1038/s41556-025-01814-7","41254392","PMC12680438","Improved ex vivo expansion of human haematopoietic stem cells (HSCs) would considerably advance transplantation and genome-engineered therapies, yet existing culture methods still allow substantial HSC loss. Here we show that this attrition is driven largely by ferroptosis, a metabolically regulated, iron-dependent cell-death pathway, and that it can be blocked to augment HSC expansion. Inhibiting ferroptosis with liproxstatin-1 or ferrostatin-1 markedly increases the expansion of cord blood and adult HSCs consistently across donors in both widely used serum-free cultures and recently reported chemically defined conditions. The expanded cells retain phenotypic and molecular stem cell identity and mediate improved durable, multilineage engraftment in xenotransplanted mice without genotoxicity or aberrant haematopoiesis. Mechanistically, ferroptosis blockade is accompanied by upregulated ribosome biogenesis and cholesterol synthesis, increasing levels of 7-dehydrocholesterol-a potent endogenous ferroptosis inhibitor that itself promotes HSC expansion. Crucially, this approach enhances yields of therapeutically genome-modified HSCs, paving a path for clinical applications.","","https://creativecommons.org/licenses/by/4.0","","en","Research Article","","","","","della volpe,sankaran2025inhibiting ferroptosis enhances ex vivo expansion of human haematopoietic stem cells - Nat Cell Biol.pdf",""
"Journal article","Parsons A,Sauras Colón E,Manjunath M,Zhang H,Chen J,Spasic M,Koca B,Binboga Kurt B,Freedman RA,Mittendorf EA,Swarbrick A,van Galen P,McAllister SS","","Cell populations in human breast cancers are molecularly and biologically distinct with age","Nat. Aging","Nature Aging","","","2025","5","12","2546-2563","My Papers","Highlight","Springer Science and Business Media LLC","","2025-12-04","2025-11-04","","2662-8465","2662-8465","http://dx.doi.org/10.1038/s43587-025-00984-1;https://www.nature.com/articles/s43587-025-00984-1;https://www.nature.com/articles/s43587-025-00984-1.pdf;https://www.ncbi.nlm.nih.gov/pubmed/41188599;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12705435","10.1038/s43587-025-00984-1","41188599","PMC12705435","Aging is associated with increased breast cancer risk, and the oldest and youngest patients have worse outcomes, irrespective of subtype. It is unknown how age affects cells in the breast tumor microenvironment or how they contribute to age-related pathology. Here we discover age-associated differences in cell states in human estrogen receptor-positive and triple-negative breast cancers using analyses of existing bulk and single-cell transcriptomic data. We generate and apply an Age-Specific Program ENrichment (ASPEN) analysis pipeline, revealing age-related changes, including increased tumor cell epithelial-mesenchymal transition and cancer-associated fibroblast inflammatory responses in triple-negative breast cancer. Estrogen receptor-positive breast cancer displays increased ESR1 expression and reduced vascular and immune cell metabolism with age. Cell interactome analysis reveals candidate signaling pathways that drive age-related cell states. Spatial analyses across independent clinical cohorts support the computational findings. This work identifies potential targets for age-adapted therapeutic interventions for breast cancer.","","https://creativecommons.org/licenses/by/4.0","","en","Research Article","","","","","parsons,mcallister2025cell populations in human breast cancers are molecularly and biologically distinct with age - Nat Aging.pdf;parsons,mcallister2025 - Supplement.pdf",""
"Journal article","Safina KR,van Galen P","","Lingering effects: Environmental exposure leads to clonal hematopoiesis via IL1RAP in 9/11 first responders","Cancer Discov.","Cancer Discovery","","","2025","15","12","2406-2407","My Papers","","American Association for Cancer Research (AACR)","","2025-12-02","2025-12-03","","2159-8274","2159-8290","https://dx.doi.org/10.1158/2159-8290.CD-25-1584;https://aacrjournals.org/cancerdiscovery/article-abstract/15/12/2406/767706/Lingering-Effects-Environmental-Exposure-Leads-to?redirectedFrom=fulltext;https://aacrjournals.org/cancerdiscovery/article/15/12/2406/767706/Lingering-Effects-Environmental-Exposure-Leads-to;https://aacrjournals.org/cancerdiscovery/article-pdf/15/12/2406/3684480/cd-25-1584.pdf;https://www.ncbi.nlm.nih.gov/pubmed/41327968;http://dx.doi.org/10.1158/2159-8290.CD-25-1584","10.1158/2159-8290.CD-25-1584","41327968","","In this issue, Verma, Zeig-Owens, Goldfarb, and colleagues report that increased prevalence of clonal hematopoiesis (CH) among 9/11 World Trade Center first responders is accompanied by uncharacteristic mutations in younger responders and an elevated risk of blood cancer. Using a mouse model of CH, they connect the clonal expansion triggered by World Trade Center particulate matter exposure to higher levels of IL1RAP, offering a new potential target to limit clonal expansion and reduce CH-associated risks. See related article by Verma et al., p. 2468.","","","","en","Research Article","","","","","safina,van galen2025lingering effects - environmental exposure leads to clonal hematopoiesis via il1rap in 9 - 11 first responders - Cancer Discov.pdf",""
"Preprint","Sariipek NE,Safina KR,Lu WS,Li S,Janes JT,Van Orden M,Livak KJ,Heaton H,Ho VT,Koreth J,Luskin MR,Griffin GK,Garcia JS,Lindsley RC,Cutler C,Soiffer RJ,Ritz J,Wu CJ,Antin JH,Lane AA,Gooptu M,van Galen P","","Early persistence of recipient stem-cells and T-cell dysregulation are associated with relapse after transplant in AML/MDS","","","","bioRxiv","2025","","","","My Papers","Highlight","","","2025-11-14","","","","","https://www.biorxiv.org/content/10.1101/2025.11.13.688350v1;http://biorxiv.org/lookup/doi/10.1101/2025.11.13.688350;http://dx.doi.org/10.1101/2025.11.13.688350;https://www.ncbi.nlm.nih.gov/pubmed/41293006;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12642575","10.1101/2025.11.13.688350","41293006","PMC12642575","Hematopoietic stem cell transplantation (HSCT) offers the best curative option for acute myeloid leukemia (AML) and myelodysplastic syndrome (MDS), yet relapse remains common. Current relapse detection methods are often too late for effective intervention. To identify earlier predictors and therapeutic targets, we performed longitudinal single-cell RNA and T cell receptor (TCR) sequencing of bone marrow from 33 AML/MDS patients during post-transplant immune reconstitution, comparing those who relapsed to those who remained in remission. Persistence of recipient hematopoietic stem and progenitor cells (HSPCs) in the marrow was associated with relapse months later. These residual recipient HSPCs harbored copy number variations (CNVs), supporting their leukemic origin, and overexpressed PRAME and CALCRL compared to coexisting donor HSPCs. Further, in a subset of TP53 -mutant disease, low TCR diversity with skewing toward dominant clonotypes foreshadowed relapse. These findings lay the groundwork for improved relapse prediction and nominate therapeutic targets for early post-transplant intervention.","","https://www.biorxiv.org/about/FAQ#license","","en","","","","","","",""
"Journal article","Dolan M,Libby KA,Ringel AE,van Galen P,McAllister SS","","Ageing, immune fitness and cancer","Nat. Rev. Cancer","Nature Reviews. Cancer","","","2025","25","11","848-872","My Papers","","Springer Science and Business Media LLC","","2025-11-14","2025-08-15","","1474-175X","1474-1768","https://www.nature.com/articles/s41568-025-00858-z;https://www.nature.com/articles/s41568-025-00858-z.pdf;http://dx.doi.org/10.1038/s41568-025-00858-z;https://www.ncbi.nlm.nih.gov/pubmed/40813902","10.1038/s41568-025-00858-z","40813902","","The immune system undergoes substantial changes throughout life, with ageing broadly impacting immune cell composition, function and regenerative capacity. Emerging evidence suggests that age-associated changes in immune fitness - the ability to respond to and eliminate infection, pathogens and malignancy while maintaining self-tolerance - reshape antitumour immunity and influence the efficacy of immunotherapies. Technological advances in high-dimensional immunoprofiling have begun to reveal the complex interplay between ageing, immune fitness and cancer biology, uncovering new therapeutic vulnerabilities and challenges. In this Review, we discuss recent insights derived from age-resolved immunoprofiling of the human tumour microenvironment, how ageing haematopoiesis affects immune cells that contribute to the microenvironment and impact cancer progression, and what is known from preclinical modelling about the functional consequences of immune ageing on tumour control. We further highlight emerging age-stratified analyses of treatment responses, which are beginning to inform hypotheses about how ageing shapes immunotherapy outcomes. Together, these perspectives provide a framework for integrating age as a critical biological variable, underscore the need to consider age in both preclinical models and clinical trial design, and identify key challenges and priorities for the field moving forward.","","https://www.springernature.com/gp/researchers/text-and-data-mining","","en","Review","","","","","dolan,mcallister2025ageing, immune fitness and cancer - Nat Rev Cancer.pdf",""
"Journal article","Steinicke TL,Benfatto S,Capilla-Guerra MR,Monteleone AB,Young JH,Shankar S,Michaels PD,Tsai HK,Good JD,Kreso A,van Galen P,Schliemann C,Chen EC,Griffin GK,Hovestadt V","","Rapid epigenomic classification of acute leukemia","Nat. Genet.","Nature Genetics","","","2025","57","10","2456-2467","My Papers","AK 2023 - Feb 2026","Springer Science and Business Media LLC","","2025-10-22","2025-09-28","","1061-4036","1546-1718","https://www.nature.com/articles/s41588-025-02321-z;https://www.nature.com/articles/s41588-025-02321-z.pdf;http://dx.doi.org/10.1038/s41588-025-02321-z;https://www.ncbi.nlm.nih.gov/pubmed/40983754;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12513838;https://scholar.google.com/citations?view_op=view_citation&hl=en&citation_for_view=_WUhKksAAAAJ:NMxIlDl6LWMC","10.1038/s41588-025-02321-z","40983754","PMC12513838","Acute leukemia requires precise molecular classification and urgent treatment. However, standard-of-care diagnostic tests are time-intensive and do not capture the full spectrum of acute leukemia heterogeneity. Here, we developed a framework to classify acute leukemia using genome-wide DNA methylation profiling. We first assembled a comprehensive reference cohort (n = 2,540 samples) and defined 38 methylation classes. Methylation-based classification matched standard-pathology lineage classification in most cases and revealed heterogeneity in addition to that captured by genetic categories. Using this reference, we developed a neural network (MARLIN; methylation- and AI-guided rapid leukemia subtype inference) for acute leukemia classification from sparse DNA methylation profiles. In retrospective cohorts profiled by nanopore sequencing, high-confidence predictions were concordant with conventional diagnoses in 25 out of 26 cases. Real-time MARLIN classification in patients with suspected acute leukemia provided accurate predictions in five out of five cases, which were typically generated within 2 h of sample receipt. In summary, we present a framework for rapid acute leukemia classification that complements and enhances standard-of-care diagnostics.","","https://creativecommons.org/licenses/by-nc-nd/4.0","Department of Pediatric Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.; Broad Institute of MIT and Harvard, Cambridge, MA, USA.; Department of Medicine A, University Hospital Münster, Münster, Germany.; Department of Pediatric Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.; Broad Institute of MIT and Harvard, Cambridge, MA, USA.; Broad Institute of MIT and Harvard, Cambridge, MA, USA.; Department of Pathology, Dana-Farber Cancer Institute, Boston, MA, USA.; Broad Institute of MIT and Harvard, Cambridge, MA, USA.; Department of Pathology, Dana-Farber Cancer Institute, Boston, MA, USA.; Albert Einstein College of Medicine, Bronx, NY, USA.; Department of Pathology, Dana-Farber Cancer Institute, Boston, MA, USA.; Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA.; Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA.; Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA.; Department of Pathology, Boston Children's Hospital, Boston, MA, USA.; Broad Institute of MIT and Harvard, Cambridge, MA, USA.; Division of Hematology, Brigham and Women's Hospital, Boston, MA, USA.; Department of Surgery, Massachusetts General Hospital, Boston, MA, USA.; Department of Medicine A, University Hospital Münster, Münster, Germany.; Division of Leukemia, Dana-Farber Cancer Institute, Boston, MA, USA.; Broad Institute of MIT and Harvard, Cambridge, MA, USA. gabriel_griffin@dfci.harvard.edu.; Department of Pathology, Dana-Farber Cancer Institute, Boston, MA, USA. gabriel_griffin@dfci.harvard.edu.; Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA. gabriel_griffin@dfci.harvard.edu.; Department of Pediatric Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. volker_hovestadt@dfci.harvard.edu.; Broad Institute of MIT and Harvard, Cambridge, MA, USA. volker_hovestadt@dfci.harvard.edu.; Division of Hematology/Oncology, Boston Children's Hospital, Boston, MA, USA. volker_hovestadt@dfci.harvard.edu.","en","Research Article","","","","","steinicke,hovestadt2025rapid epigenomic classification of acute leukemia - Nat Genet.pdf",""
"Journal article","Salik B,van Galen P","","The PERKs of ER homeostasis for hematopoietic stem cells","Blood","Blood","","","2025","146","7","768-769","My Papers","","American Society of Hematology","","2025-08-14","2025-08-15","","0006-4971","1528-0020","https://dx.doi.org/10.1182/blood.2025029931;https://ashpublications.org/blood/article/146/7/768/546514/The-PERKs-of-ER-homeostasis-for-hematopoietic-stem;https://ashpublications.org/blood/article-pdf/146/7/768/2405827/blood_bld-2025-029931-c-main.pdf;https://www.ncbi.nlm.nih.gov/pubmed/40811008;http://dx.doi.org/10.1182/blood.2025029931","10.1182/blood.2025029931","40811008","","In this issue of Blood, Zheng et al1 show that the unfolded protein response (UPR) sensor PERK (protein kinase R-like endoplasmic reticulum kinase) is disp","","","","en","Commentary","","","","","salik,van galen2025the perks of er homeostasis for hematopoietic stem cells - Blood.pdf",""
"Book","Ossandon M,Prickril B,Rasooly A","Ossandon M,Prickril B,Rasooly A","Cancer detection and diagnosis: A handbook of emerging technologies","","","","","2025","","","","My Papers","Highlight","CRC Press","Boca Raton","2025-07-14","2025-08-06","9781003449942","","","https://www.taylorfrancis.com/books/edit/10.1201/9781003449942/cancer-detection-diagnosis-avraham-rasooly-miguel-ossandon-ben-prickril;https://www.taylorfrancis.com/books/9781003449942;http://dx.doi.org/10.1201/9781003449942","10.1201/9781003449942","","","","","","","en","","223-230","","","","",""
